Titre,État,Région historique,Site,Sujet,Motifs,Date,Support,Affiliation religieuse,Lieu de conservation,Auteur,Citation bibliographique,Inscription
ASOK_AMA001,Andhra Pradesh,Andhradeśa,Amarāvatī,Balustrade avec médaillons lotiformes,lotus,1 A.D. ; 2 A.D. ; 3 A.D.,Stūpa ; balustrade ; pilier,bouddhisme,The British Museum,Maronet Léa,,
ASOK_AMA002,Andhra Pradesh,Andhradeśa,Amarāvatī,Pilier de balustrade avec médaillons lotiformes et ganas,lotus,1 A.D. ; 2 A.D. ; 3 A.D.,Stūpa ; balustrade ; pilier,bouddhisme,The British Museum,Maronet Léa,,
ASOK_AMA003,Andhra Pradesh,Andhradeśa,Amarāvatī,Pilier de balustrade avec médaillons lotiformes ; éléphants ; dévotion au stupa et ganas,lotus ; éléphant,1 A.D. ; 2 A.D. ; 3 A.D.,Stūpa ; balustrade ; pilier,bouddhisme,The British Museum,Maronet Léa,,
ASOK_AMA004,Andhra Pradesh,Andhradeśa,Amarāvatī,Pilier de balustrade avec médaillons lotiformes et jataka (?) avec roi naga et scènes dans une cour royale,lotus,1 A.D. ; 2 A.D. ; 3 A.D.,Stūpa ; balustrade ; pilier,bouddhisme,The British Museum,Maronet Léa,,
ASOK_AMA005,Andhra Pradesh,Andhradeśa,Amarāvatī,Pilier de balustrade avec médaillons lotiformes et ganas,lotus,1 A.D. ; 2 A.D. ; 3 A.D.,Stūpa ; balustrade ; pilier,bouddhisme,The British Museum,Maronet Léa,,
ASOK_AMA006,Andhra Pradesh,Andhradeśa,Amarāvatī,Pilier de balustrade avec médaillon lotiforme ; scènes dans une cour royale ; dévotion au Buddha aniconique et roi à cheval,lotus ; cheval,1 A.D. ; 2 A.D. ; 3 A.D.,Stūpa ; balustrade ; pilier,bouddhisme,The British Museum,Maronet Léa,,
ASOK_AMA007,Andhra Pradesh,Andhradeśa,Amarāvatī,Pilier de balustrade avec médaillon lotiforme et scènes de dévotion au Buddha,lotus,1 A.D. ; 2 A.D. ; 3 A.D.,Stūpa ; balustrade ; pilier,bouddhisme,The British Museum,Maronet Léa,,
ASOK_AMA008,Andhra Pradesh,Andhradeśa,Amarāvatī,Pilier de balustrade avec médaillons lotiformes et scènes dans une cour royale,lotus,1 A.D. ; 2 A.D. ; 3 A.D.,Stūpa ; balustrade ; pilier,bouddhisme,The British Museum,,,
ASOK_AMA009,Andhra Pradesh,Andhradeśa,Amarāvatī,Pilier de balustrade avec médaillons lotiformes ; scènes de dévotion au Buddha aniconique ; avec roi nāga et nāginis,lotus ; oiseau,1 A.D. ; 2 A.D. ; 3 A.D.,Stūpa ; balustrade ; pilier,bouddhisme,The British Museum,Maronet Léa,,
ASOK_AMA011,Andhra Pradesh,Andhradeśa,Amarāvatī,Pilier de balustrade avec médaillon lotiforme et scènes dans une cour royale,lotus,1 A.D. ; 2 A.D. ; 3 A.D.,Stūpa ; balustrade ; pilier,bouddhisme,The British Museum,Maronet Léa,,
